context_length,alpha,beta,adapt,chars_processed,time_microsec,bpc
7,49,77,1,33500000,9297664,0
7,49,77,1,34000000,9431807,0
7,49,77,1,34500000,9564532,0
7,49,77,1,35000000,9702001,0
7,49,77,1,35500000,9833750,0
7,49,77,1,36000000,9966472,0
7,49,77,1,36500000,10100844,0
7,49,77,1,37000000,10235411,0
7,49,77,1,37500000,10368987,0
7,49,77,1,38000000,10503860,0
7,49,77,1,38500000,10635717,0
7,49,77,1,39000000,10770649,0
7,49,77,1,39500000,10905708,0
7,49,77,1,40000000,11037941,0
7,49,77,1,40500000,11172537,0
7,49,77,1,41000000,11307559,0
7,49,77,1,41500000,11441636,0
7,49,77,1,42000000,11574668,0
7,49,77,1,42500000,11707641,0
7,49,77,1,43000000,11841724,0
7,49,77,1,43500000,11975940,0
7,49,77,1,44000000,12110529,0
7,49,77,1,44500000,12246465,0
7,49,77,1,45000000,12381155,0
7,49,77,1,45500000,12516086,0
7,49,77,1,46000000,12649941,0
7,49,77,1,46500000,12782208,0
7,49,77,1,47000000,12916265,0
7,49,77,1,47500000,13049809,0
7,49,77,1,48000000,13182324,0
7,49,77,1,48500000,13314499,0
7,49,77,1,49000000,13447252,0
7,49,77,1,49500000,13579258,0
7,49,77,1,50000000,13711638,0
7,49,77,1,50500000,13843273,0
7,49,77,1,51000000,13976768,0
7,49,77,1,51500000,14110161,0
7,49,77,1,52000000,14244626,0
7,49,77,1,52500000,14377914,0
7,49,77,1,53000000,14510039,0
7,49,77,1,53500000,14644816,0
7,49,77,1,54000000,14779736,0
7,49,77,1,54500000,14914941,0
7,49,77,1,55000000,15047036,0
7,49,77,1,55500000,15181363,0
7,49,77,1,56000000,15312433,0
7,49,77,1,56500000,15446355,0
7,49,77,1,57000000,15580442,0
7,49,77,1,57500000,15714732,0
7,49,77,1,58000000,15847691,0
7,49,77,1,58500000,15979163,0
7,49,77,1,59000000,16113722,0
7,49,77,1,59500000,16245531,0
7,49,77,1,60000000,16379518,0
7,49,77,1,60500000,16511226,0
7,49,77,1,61000000,16644318,0
7,49,77,1,61500000,16777751,0
7,49,77,1,62000000,16910061,0
7,49,77,1,62500000,17043991,0
7,49,77,1,63000000,17178615,0
7,49,77,1,63500000,17312750,0
7,49,77,1,64000000,17446437,0
7,49,77,1,64500000,17580662,0
7,49,77,1,65000000,17716692,0
7,49,77,1,65500000,17850299,0
7,49,77,1,66000000,17985327,0
7,49,77,1,66500000,18121264,0
7,49,77,1,67000000,18253867,0
7,49,77,1,67500000,18388477,0
7,49,77,1,68000000,18520970,0
7,49,77,1,68500000,18653588,0
7,49,77,1,69000000,18787125,0
7,49,77,1,69500000,18921246,0
7,49,77,1,70000000,19055145,0
7,49,77,1,70500000,19190201,0
7,49,77,1,71000000,19322975,0
7,49,77,1,71500000,19456898,0
7,49,77,1,72000000,19590326,0
7,49,77,1,72500000,19724685,0
7,49,77,1,73000000,19861283,0
7,49,77,1,73500000,19996519,0
7,49,77,1,74000000,20130374,0
7,49,77,1,74500000,20262971,0
7,49,77,1,75000000,20397728,0
7,49,77,1,75500000,20531522,0
7,49,77,1,76000000,20665019,0
7,49,77,1,76500000,20797293,0
7,49,77,1,77000000,20929606,0
7,49,77,1,77500000,21060857,0
7,49,77,1,78000000,21193254,0
7,49,77,1,78500000,21327444,0
7,49,77,1,79000000,21463200,0
7,49,77,1,79500000,21596333,0
7,49,77,1,80000000,21729920,0
7,49,77,1,80500000,21864279,0
7,49,77,1,81000000,22000171,0
7,49,77,1,81500000,22134443,0
7,49,77,1,82000000,22267412,0
7,49,77,1,82500000,22402230,0
7,49,77,1,83000000,22536279,0
7,49,77,1,83500000,22670277,0
7,49,77,1,84000000,22803307,0
